username,password,email,firstName,lastName,birthday,about
﻿20130001,20130001,20130001@student.hust.edu.vn,Ca Diệu,Uyên,1995-03-06,Class: CN-Công nghệ thông tin \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130002,20130002,20130002@student.hust.edu.vn,Tăng Hinh,Đàm,1994-01-05,Class: Toán-Tin \nInstitute: Viện Toán ứng dụng và Tin học
20130003,20130003,20130003@student.hust.edu.vn,Bồ Đan,Phượng,1994-11-05,Class: Truyền thông và mạng máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130004,20130004,20130004@student.hust.edu.vn,Phùng Nhi,Tống,1995-06-01,Class: Vật lý kỹ thuật \nInstitute: Viện Vật lý kỹ thuật
20130005,20130005,20130005@student.hust.edu.vn,Quản Từ,Thương,1994-02-25,Class: CN-Công nghệ chế tạo máy \nInstitute: Viện cơ khí
20130006,20130006,20130006@student.hust.edu.vn,Bàng Mai,Biên,1994-01-29,Class: Toán-Tin \nInstitute: Viện Toán ứng dụng và Tin học
20130007,20130007,20130007@student.hust.edu.vn,Uông Ba,Quốc,1995-11-05,Class: CN-Công nghệ kỹ thuật cơ điện tử \nInstitute: Viện cơ khí
20130008,20130008,20130008@student.hust.edu.vn,Khu Điện,Nội,1995-01-12,Class: Kỹ thuật dệt \nInstitute: Viện Dệt may - Da giầy và Thời trang
20130009,20130009,20130009@student.hust.edu.vn,Triệu Minh,Khoa,1993-04-24,Class: Kỹ thuật hạt nhân \nInstitute: Viện Kỹ thuật Hạt nhân và Vật lý Môi trường
20130010,20130010,20130010@student.hust.edu.vn,Phương Tắc,Đồng,1993-09-05,Class: CN-Công nghệ kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130011,20130011,20130011@student.hust.edu.vn,Mạc Bùi,Lương,1995-03-24,Class: Kỹ thuật vật liệu \nInstitute: Viện Khoa học và Kỹ thuật Vật liệu
20130012,20130012,20130012@student.hust.edu.vn,Giáp Điện,Tuyết,1993-03-04,Class: Khoa học máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130013,20130013,20130013@student.hust.edu.vn,Nhâm Huyên,Tuyền,1995-07-24,Class: Truyền thông và mạng máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130014,20130014,20130014@student.hust.edu.vn,Lưu Luân,Nhân,1994-03-17,Class: Kỹ thuật điện tử - viễn thông \nInstitute: Viện Điện tử - Viễn thông
20130015,20130015,20130015@student.hust.edu.vn,Dã Chi,Thúy,1993-06-17,Class: Kỹ thuật cơ khí \nInstitute: Viện cơ khí
20130016,20130016,20130016@student.hust.edu.vn,Chương Trung,Giang,1994-01-07,Class: Hệ thống thông tin quản lý \nInstitute: Viện Toán ứng dụng và Tin học
